State | Type,Full-time faculty,White,Black,Hispanic,Asian,American Indian,Pacific Islander,Two or more,Unknown,Non-resident,Total minority,Female
Expression College for Digital ArtsCalifornia | Special-Focus,32,90.60%,3.10%,N/A,3.10%,N/A,N/A,N/A,3.10%,N/A,6.30%,15.60%
Fashion Institute of Design and Merchandising at Los AngelesCalifornia | Special-Focus,67,67.20%,13.40%,11.90%,6.00%,N/A,N/A,N/A,1.50%,N/A,31.30%,64.20%
Fashion Institute of Design and Merchandising at San DiegoCalifornia | Associate,2,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.00%
Fashion Institute of Design and Merchandising at San FranciscoCalifornia | Associate,9,88.90%,N/A,N/A,11.10%,N/A,N/A,N/A,N/A,N/A,11.10%,55.60%
Fashion Institute of Design and Merchandising-Orange County (Calif.)California | Associate,5,60.00%,20.00%,N/A,N/A,N/A,N/A,N/A,20.00%,N/A,20.00%,100.00%
Feather River CollegeCalifornia | Associate,37,91.90%,2.70%,N/A,N/A,N/A,N/A,N/A,2.70%,2.70%,5.40%,46.00%
Fielding Graduate U.California | Doctoral,58,67.20%,12.10%,10.30%,5.20%,1.70%,N/A,1.70%,1.70%,N/A,27.60%,58.60%
Five Branches U. Graduate School of Traditional Chinese MedicineCalifornia | Special-Focus,1,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Folsom Lake CollegeCalifornia | Associate,105,59.10%,2.90%,13.30%,4.80%,2.90%,1.90%,5.70%,7.60%,1.90%,24.80%,52.40%
Foothill CollegeCalifornia | Associate,186,62.90%,5.90%,13.40%,13.40%,N/A,N/A,0.50%,3.80%,N/A,32.80%,60.20%
Four-D CollegeCalifornia | Unclassified,26,26.90%,50.00%,15.40%,3.90%,N/A,N/A,3.90%,N/A,N/A,69.20%,88.50%
Franciscan School of TheologyCalifornia | Special-Focus,4,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.00%
Fremont CollegeCalifornia | Associate,4,100.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.00%
Fresno City CollegeCalifornia | Associate,340,60.30%,3.20%,18.80%,6.80%,1.80%,0.30%,N/A,8.20%,0.60%,29.70%,51.50%
Fresno Pacific U.California | Master's,100,87.00%,2.00%,2.00%,4.00%,N/A,N/A,3.00%,2.00%,N/A,8.00%,44.00%
Fuller Theological SeminaryCalifornia | Special-Focus,79,72.20%,7.60%,5.10%,11.40%,1.30%,N/A,2.50%,N/A,N/A,24.10%,29.10%
Fullerton CollegeCalifornia | Associate,287,63.10%,2.10%,9.80%,7.70%,1.40%,N/A,3.10%,10.40%,2.40%,21.90%,50.20%
Gavilan CollegeCalifornia | Associate,77,71.40%,2.60%,19.50%,1.30%,N/A,N/A,N/A,5.20%,N/A,23.40%,62.30%
Glendale Community College (Calif.)California | Associate,239,75.70%,2.10%,8.80%,10.00%,0.80%,1.70%,0.40%,0.40%,N/A,22.60%,55.60%
Golden Gate U.California | Master's,82,81.70%,6.10%,2.40%,8.50%,N/A,1.20%,N/A,N/A,N/A,18.30%,41.50%
Golden West CollegeCalifornia | Associate,127,63.80%,3.90%,13.40%,12.60%,0.80%,0.80%,N/A,3.90%,0.80%,31.50%,60.60%
Graduate Theological UnionCalifornia | Special-Focus,5,80.00%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.00%,20.00%,60.00%
Grossmont CollegeCalifornia | Associate,200,67.50%,3.50%,14.50%,7.50%,1.00%,0.50%,N/A,0.50%,5.00%,31.00%,55.00%
Hartnell CollegeCalifornia | Associate,98,57.10%,4.10%,22.40%,11.20%,3.10%,N/A,N/A,2.00%,N/A,37.80%,55.10%
Harvey Mudd CollegeCalifornia | Baccaluareate,94,72.30%,4.30%,3.20%,16.00%,N/A,1.10%,N/A,2.10%,1.10%,25.50%,37.20%
Holy Names U.California | Master's,50,60.00%,14.00%,8.00%,10.00%,N/A,2.00%,4.00%,N/A,2.00%,36.00%,68.00%
Hope International U.California | Baccaluareate,42,90.50%,2.40%,2.40%,4.80%,N/A,N/A,N/A,N/A,N/A,9.50%,40.50%
Humboldt State U.California | Master's,281,79.70%,2.10%,3.60%,5.30%,2.50%,0.40%,N/A,5.30%,1.10%,12.50%,44.10%
Humphreys CollegeCalifornia | Baccaluareate,22,81.80%,4.50%,4.50%,4.50%,N/A,N/A,N/A,4.50%,N/A,13.60%,63.60%
ICDC CollegeCalifornia | Associate,12,50.00%,8.30%,41.70%,N/A,N/A,N/A,N/A,N/A,N/A,50.00%,50.00%
Imperial Valley CollegeCalifornia | Associate,156,37.80%,1.90%,21.80%,2.60%,0.60%,N/A,1.30%,34.00%,N/A,26.30%,51.90%
"Institute of Technology (Clovis, Calif.)California | Associate",92,60.90%,4.30%,10.90%,N/A,1.10%,N/A,N/A,22.80%,N/A,15.20%,40.20%
InterCoast Colleges-OrangeCalifornia | Unclassified,9,33.30%,N/A,33.30%,N/A,N/A,N/A,N/A,33.30%,N/A,33.30%,11.10%
Irvine Valley CollegeCalifornia | Associate,124,57.30%,1.60%,13.70%,12.10%,0.80%,N/A,N/A,11.30%,3.20%,30.60%,46.80%
ITT Technical Institute at Anaheim (Calif.)California | Special-Focus,7,42.90%,N/A,14.30%,42.90%,N/A,N/A,N/A,N/A,N/A,57.10%,42.90%
ITT Technical Institute at Clovis (Calif.)California | Associate,4,75.00%,N/A,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,25.00%,N/A
ITT Technical Institute at Concord (Calif.)California | Associate,2,50.00%,N/A,N/A,50.00%,N/A,N/A,N/A,N/A,N/A,50.00%,N/A
ITT Technical Institute at Corona (Calif.)California | Unclassified,2,50.00%,N/A,N/A,N/A,N/A,50.00%,N/A,N/A,N/A,50.00%,N/A
ITT Technical Institute at Culver City (Calif.)California | Unclassified,2,N/A,N/A,N/A,100.00%,N/A,N/A,N/A,N/A,N/A,100.00%,N/A
ITT Technical Institute at Lathrop (Calif.)California | Special-Focus,4,75.00%,N/A,25.00%,N/A,N/A,N/A,N/A,N/A,N/A,25.00%,25.00%
ITT Technical Institute at National City (Calif.)California | Special-Focus,8,87.50%,N/A,N/A,12.50%,N/A,N/A,N/A,N/A,N/A,12.50%,12.50%
ITT Technical Institute at Oakland (Calif.)California | Unclassified,1,N/A,N/A,N/A,100.00%,N/A,N/A,N/A,N/A,N/A,100.00%,N/A
ITT Technical Institute at Oxnard (Calif.)California | Baccaluareate,3,66.70%,N/A,N/A,33.30%,N/A,N/A,N/A,N/A,N/A,33.30%,33.30%
ITT Technical Institute at Rancho Cordova (Calif.)California | Special-Focus,10,60.00%,N/A,10.00%,30.00%,N/A,N/A,N/A,N/A,N/A,40.00%,60.00%
ITT Technical Institute at San Bernardino (Calif.)California | Baccaluareate,6,66.70%,N/A,16.70%,16.70%,N/A,N/A,N/A,N/A,N/A,33.30%,50.00%
ITT Technical Institute at San Dimas (Calif.)California | Special-Focus,5,40.00%,20.00%,N/A,40.00%,N/A,N/A,N/A,N/A,N/A,60.00%,N/A
ITT Technical Institute at Sylmar (Calif.)California | Baccaluareate,6,33.30%,N/A,33.30%,33.30%,N/A,N/A,N/A,N/A,N/A,66.70%,33.30%
